status,accident_index,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2.02E+12,70151244,2,1,1,2,46,8,3,0,9,1,9
Unvalidated,2.02E+12,70152668,1,1,1,1,30,6,3,0,9,1,2
Unvalidated,2.02E+12,70154696,1,1,1,2,58,9,3,0,9,1,10
Unvalidated,2.02E+12,70154696,2,3,1,2,78,11,3,0,9,2,10
Unvalidated,2.02E+12,70154696,3,2,1,1,63,9,3,0,9,3,7
Unvalidated,2.02E+12,70154696,4,4,1,1,52,8,3,0,9,1,9
Unvalidated,2.02E+12,70154696,4,5,2,1,50,8,3,2,9,-1,-1
Unvalidated,2.02E+12,70154696,4,6,2,1,16,4,3,2,9,-1,-1
Unvalidated,2.02E+12,70155214,2,1,1,1,74,10,2,0,1,3,5
Unvalidated,2.02E+12,70155656,1,1,1,1,50,8,3,0,9,1,8
Unvalidated,2.02E+12,70156916,2,1,1,1,46,8,2,0,1,1,3
Unvalidated,2.02E+12,70163458,1,1,3,1,79,11,3,0,0,1,10
Unvalidated,2.02E+12,70171945,1,1,1,1,13,3,3,0,1,1,8
Unvalidated,2.02E+12,70172152,1,1,2,2,48,8,3,1,9,1,4
Unvalidated,2.02E+12,70178065,1,1,1,1,50,8,2,0,9,1,3
Unvalidated,2.02E+12,70178065,2,2,1,2,30,6,3,0,9,1,1
Unvalidated,2.02E+12,70188838,2,1,1,1,45,7,3,0,1,1,4
Unvalidated,2.02E+12,70208889,1,1,1,1,28,6,3,0,20,1,7
Unvalidated,2.02E+12,70208889,2,2,1,1,54,8,2,0,20,3,8
Unvalidated,2.02E+12,70211738,1,1,1,1,42,7,3,0,9,1,10
Unvalidated,2.02E+12,70221069,1,1,1,2,50,8,3,0,9,1,2
Unvalidated,2.02E+12,70222206,1,1,1,1,45,7,3,0,9,-1,-1
Unvalidated,2.02E+12,70227136,2,1,1,1,30,6,2,0,1,1,8
Unvalidated,2.02E+12,70227147,2,1,1,1,58,9,3,0,1,1,10
Unvalidated,2.02E+12,70230394,2,1,1,2,33,6,3,0,9,1,1
Unvalidated,2.02E+12,70230394,2,2,2,2,34,6,3,1,9,1,3
Unvalidated,2.02E+12,70230394,2,3,2,2,7,2,3,2,9,1,3
Unvalidated,2.02E+12,70231809,1,1,1,1,20,4,3,0,2,1,10
Unvalidated,2.02E+12,70231956,1,1,3,1,24,5,3,0,0,-1,-1
Unvalidated,2.02E+12,70231976,1,1,1,1,18,4,3,0,9,3,5
Unvalidated,2.02E+12,70231976,1,2,2,1,16,4,3,1,9,3,5
Unvalidated,2.02E+12,70235426,1,1,1,1,58,9,3,0,9,1,3
Unvalidated,2.02E+12,70235426,2,2,2,2,80,11,3,1,9,1,3
Unvalidated,2.02E+12,141192568,1,1,1,1,34,6,3,0,9,1,2
Unvalidated,2.02E+12,141192605,3,1,2,2,16,4,2,-1,9,1,1
Unvalidated,2.02E+12,141193520,1,1,3,1,14,3,3,0,0,1,5
Unvalidated,2.02E+12,141194195,2,1,1,1,32,6,2,0,1,-1,-1
Unvalidated,2.02E+12,141194365,1,1,2,1,19,4,3,1,9,1,1
Unvalidated,2.02E+12,141216476,3,1,1,2,34,6,3,0,9,1,8
Unvalidated,2.02E+12,141216476,4,2,1,2,32,6,2,0,9,2,8
Unvalidated,2.02E+12,161127675,2,1,1,1,59,9,3,0,9,1,7
Unvalidated,2.02E+12,161127749,1,1,1,2,19,4,2,0,9,2,1
Unvalidated,2.02E+12,161127896,2,1,1,2,36,7,3,0,1,1,2
Unvalidated,2.02E+12,161128739,1,1,2,2,84,11,3,1,9,3,6
Unvalidated,2.02E+12,161128823,1,1,1,1,23,5,2,0,1,1,3
Unvalidated,2.02E+12,161129378,1,1,1,2,43,7,3,0,9,1,2
Unvalidated,2.02E+12,161129383,1,1,1,2,55,8,3,0,9,-1,-1
Unvalidated,2.02E+12,161131264,1,1,3,2,5,1,3,0,0,1,1
Unvalidated,2.02E+12,161131942,1,1,3,1,42,7,3,0,0,1,1
Unvalidated,2.02E+12,161132641,2,2,1,1,31,6,3,0,1,1,1
Unvalidated,2.02E+12,161132936,2,1,1,1,25,5,3,0,9,1,1
Unvalidated,2.02E+12,161135250,1,1,1,1,18,4,2,0,2,1,6
Unvalidated,2.02E+12,161135784,2,1,1,1,26,6,3,0,9,-1,-1
Unvalidated,2.02E+12,161135880,2,1,1,2,52,8,2,0,9,1,1
Unvalidated,2.02E+12,161135950,1,1,2,2,21,5,3,1,9,1,6
Unvalidated,2.02E+12,161135950,2,2,1,1,72,10,3,0,9,1,1
Unvalidated,2.02E+12,161135950,2,3,2,2,74,10,3,1,9,1,1
Unvalidated,2.02E+12,161136101,1,1,1,1,15,3,3,0,1,1,1
Unvalidated,2.02E+12,161136585,1,1,1,1,22,5,3,0,9,1,9
Unvalidated,2.02E+12,161136614,1,1,1,2,47,8,3,0,1,1,4
Unvalidated,2.02E+12,161136672,1,1,1,2,59,9,3,0,9,1,3
Unvalidated,2.02E+12,161137845,1,1,3,2,16,4,2,0,0,1,4
Unvalidated,2.02E+12,161137961,1,2,2,1,86,11,2,2,9,2,10
Unvalidated,2.02E+12,161137961,1,3,2,2,76,11,2,2,9,2,10
Unvalidated,2.02E+12,161137961,2,1,1,2,61,9,3,0,9,1,9
Unvalidated,2.02E+12,161138447,1,1,1,-1,-1,-1,3,0,3,-1,-1
Unvalidated,2.02E+12,161138805,1,1,1,2,35,6,3,0,9,2,3
Unvalidated,2.02E+12,161140713,1,1,1,1,20,4,3,0,17,-1,-1
Unvalidated,2.02E+12,161140713,3,2,1,2,52,8,3,0,9,1,1
Unvalidated,2.02E+12,161140713,3,3,2,2,33,6,3,1,9,1,1
Unvalidated,2.02E+12,161140713,4,4,1,2,51,8,3,0,9,1,4
Unvalidated,2.02E+12,161141115,1,1,3,1,17,4,2,0,0,2,10
Unvalidated,2.02E+12,161141247,2,1,1,1,30,6,3,0,1,1,1
Unvalidated,2.02E+12,161142104,1,1,1,2,36,7,3,0,9,3,5
Unvalidated,2.02E+12,161142754,1,1,1,2,36,7,3,0,1,1,5
Unvalidated,2.02E+12,161143135,2,1,1,1,17,4,3,0,1,1,2
Unvalidated,2.02E+12,161143135,2,2,2,2,17,4,3,0,1,1,1
Unvalidated,2.02E+12,161144379,1,1,3,1,24,5,2,0,0,-1,-1
Unvalidated,2.02E+12,122200454,1,1,1,1,68,10,3,0,9,1,10
Unvalidated,2.02E+12,122200454,2,2,1,2,52,8,3,0,9,1,9
Unvalidated,2.02E+12,122200464,2,1,2,2,51,8,3,1,9,3,6
Unvalidated,2.02E+12,122200467,1,1,1,1,38,7,3,0,5,1,1
Unvalidated,2.02E+12,122200481,1,1,1,2,36,7,3,0,9,1,3
Unvalidated,2.02E+12,122200498,1,1,3,1,73,10,3,0,0,1,5
Unvalidated,2.02E+12,122200499,1,1,2,2,32,6,3,1,9,2,5
Unvalidated,2.02E+12,122200504,1,1,1,1,65,9,3,0,1,1,10
Unvalidated,2.02E+12,122200529,2,1,1,2,27,6,3,0,9,1,9
Unvalidated,2.02E+12,122200540,1,1,1,1,66,10,2,0,9,1,6
Unvalidated,2.02E+12,122200540,1,3,2,2,63,9,2,2,9,-1,-1
Unvalidated,2.02E+12,122200540,1,4,2,1,93,11,2,2,9,1,9
Unvalidated,2.02E+12,122200556,1,1,1,2,74,10,3,0,9,2,9
Unvalidated,2.02E+12,122200556,1,2,2,1,80,11,2,1,9,2,9
Unvalidated,2.02E+12,122200585,1,1,1,1,50,8,3,0,9,1,7
Unvalidated,2.02E+12,122200585,2,2,1,1,21,5,3,0,9,2,7
Unvalidated,2.02E+12,122200585,2,3,2,1,77,11,3,1,9,3,8
Unvalidated,2.02E+12,122200588,2,1,1,1,60,9,2,0,1,3,8
Unvalidated,2.02E+12,122200594,1,1,1,1,69,10,3,0,9,1,9
Unvalidated,2.02E+12,122200604,1,1,1,1,25,5,3,0,2,1,9
Unvalidated,2.02E+12,122200605,2,1,1,1,41,7,2,0,4,1,6
Unvalidated,2.02E+12,122200611,2,1,1,-1,36,7,3,0,4,3,6
Unvalidated,2.02E+12,122200612,1,1,1,1,67,10,3,0,9,1,6
Unvalidated,2.02E+12,122200620,1,1,3,1,91,11,3,0,0,1,4
Unvalidated,2.02E+12,122200623,1,1,1,1,30,6,3,0,9,1,6
Unvalidated,2.02E+12,122200643,1,1,1,2,54,8,3,0,1,1,10
Unvalidated,2.02E+12,122200657,2,1,2,2,68,10,3,1,9,1,3
Unvalidated,2.02E+12,122200676,1,1,3,1,17,4,3,0,0,1,2
Unvalidated,2.02E+12,122200686,2,1,1,1,34,6,2,0,1,1,6
Unvalidated,2.02E+12,122200687,1,1,3,1,72,10,3,0,0,1,8
Unvalidated,2.02E+12,122200697,1,1,1,1,70,10,2,0,5,1,8
Unvalidated,2.02E+12,122200721,1,1,1,1,27,6,3,0,9,3,6
Unvalidated,2.02E+12,122200769,1,1,1,1,24,5,3,0,9,2,9
Unvalidated,2.02E+12,122200772,1,1,1,2,40,7,2,0,1,1,5
Unvalidated,2.02E+12,122200777,2,1,1,2,30,6,3,0,9,-1,-1
Unvalidated,2.02E+12,122200791,1,1,2,2,23,5,3,1,9,1,6
Unvalidated,2.02E+12,122200804,1,1,1,1,41,7,3,0,9,3,6
Unvalidated,2.02E+12,122200807,1,1,2,1,28,6,2,2,9,1,7
Unvalidated,2.02E+12,122200807,1,2,2,2,41,7,2,2,9,2,5
Unvalidated,2.02E+12,122200824,1,3,2,2,17,4,3,1,9,3,6
Unvalidated,2.02E+12,122200824,2,1,1,1,33,6,3,0,9,2,6
Unvalidated,2.02E+12,122200824,2,2,2,2,29,6,3,1,9,2,6
Unvalidated,2.02E+12,122200862,1,1,1,1,17,4,2,0,4,2,8
Unvalidated,2.02E+12,122200874,1,1,1,1,16,4,3,0,2,1,10
Unvalidated,2.02E+12,122200896,1,1,1,2,77,11,3,0,9,1,9
Unvalidated,2.02E+12,141127662,1,1,2,1,55,8,2,1,9,1,1
Unvalidated,2.02E+12,141127891,1,1,1,1,63,9,3,0,9,-1,-1
Unvalidated,2.02E+12,141128006,1,1,1,2,28,6,2,0,9,2,9
Unvalidated,2.02E+12,141129207,1,1,3,1,21,5,2,0,0,-1,-1
Unvalidated,2.02E+12,141130014,2,1,2,2,13,3,3,2,9,1,7
Unvalidated,2.02E+12,141130107,1,1,3,1,27,6,2,0,0,1,1
Unvalidated,2.02E+12,141130365,2,1,1,1,43,7,2,0,1,-1,-1
Unvalidated,2.02E+12,141130662,2,1,1,1,73,10,3,0,9,2,9
Unvalidated,2.02E+12,141130662,2,2,2,2,57,9,2,1,9,2,9
Unvalidated,2.02E+12,141131216,1,1,2,1,37,7,3,2,9,-1,-1
Unvalidated,2.02E+12,141131221,1,1,1,2,53,8,3,0,9,1,2
Unvalidated,2.02E+12,141131221,1,2,2,2,41,7,3,1,9,-1,-1
Unvalidated,2.02E+12,141131679,1,1,3,1,13,3,2,0,0,1,3
Unvalidated,2.02E+12,141131794,2,1,2,2,68,10,2,1,9,1,4
Unvalidated,2.02E+12,141131827,2,1,1,1,26,6,3,0,9,1,10
Unvalidated,2.02E+12,141131828,2,1,1,1,35,6,3,0,1,-1,-1
Unvalidated,2.02E+12,141133081,1,1,2,2,21,5,2,1,9,1,2
Unvalidated,2.02E+12,141133431,1,1,1,1,20,4,2,0,9,2,7
Unvalidated,2.02E+12,141133431,2,2,1,1,65,9,3,0,9,1,4
Unvalidated,2.02E+12,141133431,2,3,2,2,60,9,2,1,9,1,4
Unvalidated,2.02E+12,141134998,1,1,1,2,81,11,3,0,9,1,4
Unvalidated,2.02E+12,141135113,1,1,2,1,-1,-1,3,0,11,2,3
Unvalidated,2.02E+12,141135288,1,1,1,2,28,6,3,0,9,1,3
Unvalidated,2.02E+12,141135320,1,1,1,1,24,5,3,0,9,-1,-1
Unvalidated,2.02E+12,141135320,1,2,2,2,21,5,3,1,9,-1,-1
Unvalidated,2.02E+12,141135408,1,1,3,2,12,3,3,0,0,-1,-1
Unvalidated,2.02E+12,141135436,2,1,1,2,60,9,3,0,1,-1,-1
Unvalidated,2.02E+12,141135466,1,1,1,2,36,7,3,0,9,2,2
Unvalidated,2.02E+12,141135466,2,2,1,1,54,8,3,0,9,1,4
Unvalidated,2.02E+12,141136140,1,1,3,1,28,6,3,0,0,1,2
Unvalidated,2.02E+12,141137745,1,1,1,2,23,5,3,0,9,1,2
Unvalidated,2.02E+12,141137921,2,1,1,1,21,5,2,0,9,1,3
Unvalidated,2.02E+12,141138011,1,1,3,2,34,6,3,0,0,1,1
Unvalidated,2.02E+12,141138316,2,1,1,1,32,6,3,0,98,1,3
Unvalidated,2.02E+12,141140290,1,1,1,1,44,7,2,0,1,-1,-1
Unvalidated,2.02E+12,141140763,1,1,2,2,32,6,3,1,9,-1,-1
Unvalidated,2.02E+12,141140778,1,1,3,1,36,7,3,0,0,-1,-1
Unvalidated,2.02E+12,141141926,1,1,1,1,66,10,2,0,9,-1,-1
Unvalidated,2.02E+12,141141926,2,2,1,2,35,6,3,0,9,1,6
Unvalidated,2.02E+12,141141926,2,3,2,2,18,4,3,1,9,1,6
Unvalidated,2.02E+12,141142346,2,1,1,1,57,9,2,0,1,-1,-1
Unvalidated,2.02E+12,141144898,1,1,1,2,58,9,3,0,9,1,3
Unvalidated,2.02E+12,141144898,2,2,1,1,36,7,2,0,9,1,3
Unvalidated,2.02E+12,141144906,1,1,1,1,53,8,3,0,97,1,4
Unvalidated,2.02E+12,141145622,1,1,1,1,34,6,3,0,9,1,9
Unvalidated,2.02E+12,161145517,1,1,3,2,54,8,3,0,0,1,3
Unvalidated,2.02E+12,161145578,1,1,1,2,67,10,3,0,9,3,3
Unvalidated,2.02E+12,161145620,1,1,1,1,58,9,3,0,98,1,2
Unvalidated,2.02E+12,161146425,2,1,1,1,39,7,3,0,1,1,1
Unvalidated,2.02E+12,161146667,1,1,1,2,39,7,3,0,9,1,3
Unvalidated,2.02E+12,161146667,2,2,1,2,70,10,3,0,9,1,4
Unvalidated,2.02E+12,161147465,1,1,1,2,66,10,3,0,9,2,9
Unvalidated,2.02E+12,161147674,1,1,1,2,43,7,3,0,9,1,3
Unvalidated,2.02E+12,161147887,1,1,1,2,36,7,3,0,9,1,1
Unvalidated,2.02E+12,161149029,1,1,1,1,38,7,3,0,9,1,2
Unvalidated,2.02E+12,161149029,1,2,2,1,37,7,3,1,9,1,1
Unvalidated,2.02E+12,161149388,1,1,3,2,10,2,3,0,0,-1,-1
Unvalidated,2.02E+12,161149388,1,2,3,1,31,6,3,0,0,-1,-1
Unvalidated,2.02E+12,161149388,1,3,3,1,12,3,3,0,0,1,1
Unvalidated,2.02E+12,161150696,1,1,1,2,18,4,3,0,9,3,10
Unvalidated,2.02E+12,161151343,1,1,1,1,50,8,2,0,9,2,4
Unvalidated,2.02E+12,161151924,1,1,3,1,8,2,3,0,0,1,3
Unvalidated,2.02E+12,161152548,2,1,1,1,51,8,3,0,9,1,2
Unvalidated,2.02E+12,161152680,2,1,1,1,22,5,3,0,9,1,10
Unvalidated,2.02E+12,161153408,1,1,1,2,21,5,3,0,9,1,1
Unvalidated,2.02E+12,161154473,1,1,1,1,17,4,3,0,3,3,7
Unvalidated,2.02E+12,161154853,2,1,1,2,29,6,3,0,9,3,7
Unvalidated,2.02E+12,161154853,3,2,1,2,46,8,3,0,9,1,10
Unvalidated,2.02E+12,161154994,2,1,1,2,36,7,2,0,1,2,10
Unvalidated,2.02E+12,161155749,1,1,3,2,62,9,3,0,0,1,10
Unvalidated,2.02E+12,161156237,1,1,1,2,57,9,3,0,9,3,3
Unvalidated,2.02E+12,161156752,1,1,1,1,72,10,3,0,9,2,9
Unvalidated,2.02E+12,161156752,1,2,2,2,69,10,3,1,9,2,9
Unvalidated,2.02E+12,161157578,1,1,1,1,34,6,3,0,90,1,1
Unvalidated,2.02E+12,161157624,1,1,3,2,8,2,2,0,0,1,1
Unvalidated,2.02E+12,161157624,1,2,3,2,8,2,3,0,0,1,1
Unvalidated,2.02E+12,161158864,2,1,1,2,30,6,3,0,9,-1,-1
Unvalidated,2.02E+12,161158900,2,1,1,2,51,8,2,0,1,1,2
Unvalidated,2.02E+12,161158900,3,2,1,1,48,8,3,0,1,1,2
Unvalidated,2.02E+12,161160190,2,1,1,1,27,6,3,0,9,1,1
Unvalidated,2.02E+12,161160190,3,2,1,1,23,5,3,0,9,1,7
Unvalidated,2.02E+12,161161448,2,1,2,2,15,3,3,0,90,1,1
Unvalidated,2.02E+12,161161451,2,1,1,1,22,5,2,0,3,1,1
Unvalidated,2.02E+12,161162146,1,1,3,2,12,3,3,0,0,2,7
Unvalidated,2.02E+12,161162553,2,1,1,1,35,6,2,0,1,1,1
Unvalidated,2.02E+12,161163597,1,1,2,1,36,7,3,1,8,1,3
Unvalidated,2.02E+12,161163822,2,1,1,1,46,8,2,0,1,1,5
Unvalidated,2.02E+12,161163934,1,1,1,1,34,6,3,0,3,1,3
Unvalidated,2.02E+12,161164301,2,1,1,1,53,8,3,0,1,1,7
Unvalidated,2.02E+12,161165483,2,1,1,1,27,6,3,0,1,-1,-1
Unvalidated,2.02E+12,141145657,2,1,1,1,51,8,3,0,1,1,6
Unvalidated,2.02E+12,141145677,1,1,1,2,38,7,3,0,9,1,2
Unvalidated,2.02E+12,141145805,1,1,3,2,16,4,2,0,0,1,3
Unvalidated,2.02E+12,141145851,1,1,1,1,30,6,2,0,9,-1,-1
Unvalidated,2.02E+12,141147122,2,1,1,2,40,7,3,0,1,-1,-1
Unvalidated,2.02E+12,141147193,2,1,1,1,68,10,2,0,9,1,6
Unvalidated,2.02E+12,141149463,2,1,1,1,56,9,2,0,1,-1,-1
Unvalidated,2.02E+12,141151935,1,1,3,1,34,6,3,0,0,1,7
Unvalidated,2.02E+12,141153525,1,1,1,1,18,4,3,0,97,1,1
Unvalidated,2.02E+12,141153555,1,1,3,2,13,3,3,0,0,1,1
Unvalidated,2.02E+12,141155270,1,1,1,1,54,8,3,0,97,1,1
Unvalidated,2.02E+12,141155447,1,1,1,2,19,4,2,0,9,1,6
Unvalidated,2.02E+12,141155491,2,1,1,2,63,9,3,0,9,1,8
Unvalidated,2.02E+12,141156725,2,2,1,1,13,3,3,0,1,1,2
Unvalidated,2.02E+12,141156773,1,1,3,1,10,2,3,0,0,-1,-1
Unvalidated,2.02E+12,141157577,1,1,1,1,45,7,2,0,1,1,7
Unvalidated,2.02E+12,141157595,1,1,1,1,21,5,3,0,1,1,9
Unvalidated,2.02E+12,141162167,1,1,1,1,72,10,3,0,9,1,10
Unvalidated,2.02E+12,141162167,1,2,2,2,70,10,3,1,9,-1,-1
Unvalidated,2.02E+12,141162167,2,3,1,1,61,9,3,0,9,1,6
Unvalidated,2.02E+12,141162777,1,1,1,1,60,9,3,0,98,1,4
Unvalidated,2.02E+12,141163084,2,1,1,1,64,9,3,0,9,1,1
Unvalidated,2.02E+12,141164065,1,1,1,2,35,6,3,0,9,1,2
Unvalidated,2.02E+12,141165325,2,1,1,1,52,8,3,0,1,1,9
Unvalidated,2.02E+12,141166433,1,1,1,1,17,4,3,0,9,3,6
Unvalidated,2.02E+12,141166433,1,2,2,1,10,2,3,2,9,3,6
Unvalidated,2.02E+12,141166433,2,3,1,2,19,4,3,0,9,1,5
Unvalidated,2.02E+12,141166868,2,1,1,1,34,6,2,0,1,2,4
Unvalidated,2.02E+12,201179119,2,1,1,1,-1,-1,3,0,9,-1,-1
Unvalidated,2.02E+12,201179119,2,2,2,1,-1,-1,3,1,9,-1,-1
Unvalidated,2.02E+12,201179442,1,1,1,2,18,4,3,0,9,1,1
Unvalidated,2.02E+12,201179442,1,3,2,2,16,4,3,1,9,1,3
Unvalidated,2.02E+12,201179442,2,2,1,1,41,7,3,0,9,1,1
Unvalidated,2.02E+12,201179619,1,1,3,1,-1,-1,3,0,0,-1,-1
Unvalidated,2.02E+12,201180175,1,1,1,1,49,8,2,0,9,1,2
Unvalidated,2.02E+12,201180415,1,1,3,1,6,2,2,0,0,1,2
Unvalidated,2.02E+12,201180552,2,1,1,2,40,7,3,0,9,1,1
Unvalidated,2.02E+12,201180552,2,2,2,2,19,4,3,1,9,1,1
Unvalidated,2.02E+12,201180563,1,1,1,1,29,6,3,0,9,1,6
Unvalidated,2.02E+12,201180563,1,4,2,2,53,8,3,-1,9,1,4
Unvalidated,2.02E+12,201180563,2,2,1,2,18,4,3,0,9,1,1
Unvalidated,2.02E+12,201180563,2,3,2,1,19,4,3,1,9,1,1
Unvalidated,2.02E+12,201180563,2,5,2,2,17,4,3,-1,9,1,1
Unvalidated,2.02E+12,201180618,2,1,1,2,61,9,2,0,1,1,1
Unvalidated,2.02E+12,201180803,1,1,1,1,21,5,3,0,9,1,1
Unvalidated,2.02E+12,122200896,1,2,2,2,5,1,3,2,9,1,9
Unvalidated,2.02E+12,122200973,1,1,1,1,75,10,3,0,9,1,1
Unvalidated,2.02E+12,131127764,1,2,1,1,25,5,2,0,5,3,4
Unvalidated,2.02E+12,131127764,2,1,1,1,25,5,3,0,9,1,7
Unvalidated,2.02E+12,131127841,1,1,3,2,80,11,2,0,0,1,4
Unvalidated,2.02E+12,131128700,1,3,2,1,12,3,3,1,9,1,10
Unvalidated,2.02E+12,131128700,1,4,1,2,36,7,3,0,9,1,10
Unvalidated,2.02E+12,131128700,1,5,2,2,14,3,3,2,9,1,10
Unvalidated,2.02E+12,131128700,2,1,2,1,24,5,3,1,9,1,1
Unvalidated,2.02E+12,131128700,2,2,2,1,21,5,3,2,9,1,1
Unvalidated,2.02E+12,131128785,1,1,3,1,72,10,3,0,0,1,1
Unvalidated,2.02E+12,131129222,1,1,3,2,19,4,3,0,0,1,3
Unvalidated,2.02E+12,131129543,1,2,2,1,5,1,3,2,9,1,1
Unvalidated,2.02E+12,131129543,2,1,1,2,41,7,3,0,9,1,1
Unvalidated,2.02E+12,131129943,1,1,3,1,54,8,3,0,0,1,9
Unvalidated,2.02E+12,131130245,1,1,1,2,92,11,3,0,9,1,8
Unvalidated,2.02E+12,131130434,1,1,1,1,16,4,2,0,90,1,2
Unvalidated,2.02E+12,131130434,1,2,2,2,15,3,2,0,90,1,1
Unvalidated,2.02E+12,131130863,2,1,1,2,34,6,3,0,9,1,1
Unvalidated,2.02E+12,131131719,1,1,3,2,12,3,3,0,0,1,2
Unvalidated,2.02E+12,131131803,1,1,1,1,33,6,2,0,1,2,2
Unvalidated,2.02E+12,131131878,2,1,1,1,37,7,2,0,3,1,5
Unvalidated,2.02E+12,131131889,1,1,1,2,53,8,3,0,9,1,3
Unvalidated,2.02E+12,131131949,2,1,1,2,57,9,3,0,9,1,4
Unvalidated,2.02E+12,131132225,1,2,1,2,27,6,2,0,9,1,1
Unvalidated,2.02E+12,131132225,1,3,2,2,6,2,2,2,9,1,1
Unvalidated,2.02E+12,131132225,2,1,1,1,59,9,3,0,11,1,5
Unvalidated,2.02E+12,131132510,1,1,3,1,19,4,3,0,0,1,4
Unvalidated,2.02E+12,131132574,1,1,3,2,52,8,3,0,0,3,6
Unvalidated,2.02E+12,131133051,2,1,1,2,21,5,3,0,9,1,9
Unvalidated,2.02E+12,131133160,2,1,1,1,20,4,3,0,1,1,2
Unvalidated,2.02E+12,131133443,1,1,3,1,14,3,3,0,0,1,4
Unvalidated,2.02E+12,131134204,1,1,3,2,26,6,3,0,0,1,1
Unvalidated,2.02E+12,131134207,1,1,2,2,69,10,3,1,9,1,5
Unvalidated,2.02E+12,131134578,2,1,1,1,60,9,3,0,9,1,6
Unvalidated,2.02E+12,131134578,2,2,2,2,35,6,3,2,9,1,2
Unvalidated,2.02E+12,131134578,2,3,2,1,3,1,3,2,9,1,2
Unvalidated,2.02E+12,131134638,1,1,3,1,56,9,3,0,0,1,5
Unvalidated,2.02E+12,131134659,2,1,2,1,20,4,3,0,19,1,2
Unvalidated,2.02E+12,131134676,1,1,1,1,46,8,3,0,9,1,4
Unvalidated,2.02E+12,131135086,1,1,3,1,18,4,3,0,0,1,4
Unvalidated,2.02E+12,131135276,1,1,1,1,18,4,2,0,9,2,7
Unvalidated,2.02E+12,131135635,2,1,1,1,56,9,2,0,5,1,9
Unvalidated,2.02E+12,131135781,1,1,1,2,44,7,3,0,9,1,2
Unvalidated,2.02E+12,131136412,1,1,1,1,29,6,3,0,9,1,10
Unvalidated,2.02E+12,161165533,2,1,1,1,50,8,3,0,3,1,8
Unvalidated,2.02E+12,161165564,2,1,1,2,21,5,3,0,9,2,10
Unvalidated,2.02E+12,161165564,2,2,2,1,24,5,3,1,9,-1,-1
Unvalidated,2.02E+12,161166755,1,1,1,2,26,6,3,0,9,1,3
Unvalidated,2.02E+12,161167151,1,1,1,1,7,2,3,0,1,1,4
Unvalidated,2.02E+12,161167747,1,1,3,1,11,3,3,0,0,1,1
Unvalidated,2.02E+12,161167782,1,1,1,2,35,6,3,0,9,1,2
Unvalidated,2.02E+12,161169085,1,1,2,1,86,11,3,1,9,1,6
Unvalidated,2.02E+12,161169085,2,2,1,2,30,6,3,0,9,1,6
Unvalidated,2.02E+12,161169445,2,1,2,2,71,10,3,1,9,1,1
Unvalidated,2.02E+12,161169487,2,1,1,1,39,7,2,0,1,1,2
Unvalidated,2.02E+12,161171461,1,1,3,2,3,1,2,0,0,1,1
Unvalidated,2.02E+12,161175107,2,1,1,1,10,2,2,0,90,-1,-1
Unvalidated,2.02E+12,161175714,2,1,1,1,21,5,3,0,9,1,7
Unvalidated,2.02E+12,161176018,2,1,1,1,49,8,3,0,98,-1,-1
Unvalidated,2.02E+12,161176018,3,2,1,2,32,6,3,0,9,2,7
Unvalidated,2.02E+12,161176474,1,1,1,1,58,9,2,0,5,1,3
Unvalidated,2.02E+12,161176701,2,1,1,1,13,3,3,0,1,1,1
Unvalidated,2.02E+12,161176824,1,1,1,1,21,5,2,0,9,3,3
Unvalidated,2.02E+12,161176824,1,2,2,2,20,4,3,1,9,3,3
Unvalidated,2.02E+12,161177497,2,1,1,1,17,4,3,0,9,1,2
Unvalidated,2.02E+12,161177497,2,2,2,2,-1,-1,3,1,9,2,5
Unvalidated,2.02E+12,161177705,1,1,1,2,-1,-1,3,0,9,2,7
Unvalidated,2.02E+12,161178005,2,1,1,1,51,8,3,0,19,2,10
Unvalidated,2.02E+12,161179133,1,1,1,1,21,5,3,0,9,1,3
Unvalidated,2.02E+12,161179133,1,2,2,2,24,5,3,1,9,-1,-1
Unvalidated,2.02E+12,161179334,1,2,1,2,56,9,3,0,9,1,1
Unvalidated,2.02E+12,161179334,3,1,1,1,30,6,2,0,9,1,1
Unvalidated,2.02E+12,161180467,2,1,1,1,21,5,3,0,1,1,6
Unvalidated,2.02E+12,161181892,2,1,1,1,25,5,3,0,1,1,1
Unvalidated,2.02E+12,161182411,1,1,1,1,22,5,3,0,9,3,9
Unvalidated,2.02E+12,161183799,1,1,1,2,82,11,3,0,9,1,5
Unvalidated,2.02E+12,161183799,2,2,1,1,71,10,3,0,9,3,5
Unvalidated,2.02E+12,161185027,3,1,2,2,15,3,3,2,9,-1,-1
Unvalidated,2.02E+12,161185027,3,2,2,2,-1,-1,3,2,9,-1,-1
Unvalidated,2.02E+12,161185411,1,1,1,2,27,6,3,0,9,1,1
Unvalidated,2.02E+12,161185764,2,1,1,1,15,3,3,0,1,1,1
Unvalidated,2.02E+12,161186429,1,1,3,1,20,4,2,0,0,2,10
Unvalidated,2.02E+12,161186771,1,1,3,2,10,2,2,0,0,1,4
Unvalidated,2.02E+12,161187225,2,1,1,1,25,5,3,0,3,1,1
Unvalidated,2.02E+12,161187790,2,1,1,2,39,7,3,0,9,1,3
